date,pembulatan,kredit,cadangan kerugian kredit,kol1,kol2,kol3,kol4,kol5,giro,tabungan,deposito,e-money,debt,liabilitas,ekuitas,pendapatan bunga,beban bunga,pendapatan bersih,pendapatan premi bersih,beban nilai aset keuangan,beban nilai liabilitas keuangan,beban nilai penjualan aset keuangan,beban nilai transaksi spot derivatif,beban nilai penyertaan equity,beban nilai valas,pendapatan dividen,pendapatan komisi,pendapatan lainnya,beban impairment,beban risiko operasional,beban tenaga kerja,beban promosi,beban lainnya,total pendapatan beban operasional,laba operasional,laba sebelum pajak,laba bersih,laba komprehensif
2023-02-28,1000000.0,11761545.0,755178.0,,,,,,27387.0,2752641.0,9459295.0,,100000.0,12822032.0,8668746.0,899447.0,71502.0,827945.0,,,,,,,,,268.0,20199.0,168639.0,1641.0,210365.0,1868.0,116358.0,-478525.0,349420.0,350007.0,273174.0,273121.0
2023-03-31,1000000.0,11827090.0,736484.0,0.0,0.0,0.0,0.0,0.0,27717.0,2918603.0,9817844.0,0.0,0.0,13284268.0,8834104.0,1383621.0,110197.0,1273424.0,,,,,,,,,,,256640.0,,846860.0,,,,542609.0,543174.0,424723.0,424685.0
2023-04-30,1000000.0,12285216.0,738041.0,,,,,,27971.0,3176985.0,9726266.0,,,14005268.0,8241009.0,1863364.0,151131.0,1712233.0,,,,,,,,,432.0,32854.0,367028.0,2286.0,429147.0,2842.0,230429.0,-998678.0,713555.0,714878.0,558042.0,557989.0
2023-05-31,1000000.0,12147939.0,780852.0,,,,,,27649.0,3162057.0,9976293.0,,,13581360.0,8349268.0,2351609.0,193384.0,2158225.0,,,,,,,,,524.0,38038.0,517602.0,2951.0,539418.0,3258.0,281429.0,-1306389.0,851836.0,853224.0,666299.0,666178.0
2023-06-30,1000000.0,12088928.0,834992.0,0.0,0.0,0.0,0.0,0.0,27976.0,2934912.0,9418986.0,0.0,0.0,12809337.0,8449539.0,2831942.0,234913.0,2597029.0,,,,,,,,,,,680484.0,,846860.0,,,,961080.0,962243.0,752532.0,752444.0
2023-07-31,1000000.0,12046797.0,869942.0,,,,,,28029.0,3103871.0,9704294.0,,,13240031.0,8515619.0,3317818.0,276563.0,3041255.0,,,,,,,,,727.0,44538.0,852157.0,4075.0,761108.0,4517.0,398922.0,-1975925.0,1065330.0,1065755.0,832566.0,832530.0
2023-08-31,1000000.0,11917800.0,916482.0,,,,,,28339.0,2954516.0,10162463.0,,,13583776.0,8597981.0,3808787.0,319163.0,3489624.0,,,,,,,,,846.0,49409.0,1024538.0,4664.0,874431.0,5352.0,460106.0,-2319309.0,1170315.0,1170951.0,914925.0,914891.0
2023-09-30,1000000.0,11935518.0,948159.0,0.0,0.0,0.0,0.0,0.0,28524.0,2969173.0,9756276.0,0.0,50000.0,13278365.0,8691036.0,4308418.0,362231.0,3946187.0,,,,,,,,,,,1197888.0,,846860.0,,,,1282185.0,1282504.0,1003731.0,993941.0
2023-10-31,1000000.0,11701542.0,1002043.0,,,,,,27223.0,3129004.0,9372528.0,,,12991669.0,8726407.0,4793495.0,404357.0,4389138.0,,,,,,,,,1106.0,54199.0,1403652.0,5920.0,1104154.0,7371.0,575343.0,-3041752.0,1347386.0,1347739.0,1053168.0,1043318.0
2023-11-30,1000000.0,11457505.0,1092288.0,,,,,,27461.0,3259643.0,8719347.0,,,12509644.0,8739281.0,5261147.0,443902.0,4817245.0,,,,,,,,,1228.0,56556.0,1643047.0,6554.0,1215656.0,8848.0,637117.0,-3454128.0,1363117.0,1363489.0,1065988.0,1056192.0
2023-12-31,1000000.0,11387331.0,1213739.0,10593668.0,459676.0,272638.0,17558.0,44321.0,24009.0,3087942.0,9030866.0,0.0,0.0,12658233.0,8777133.0,5746182.0,486433.0,5259749.0,,,,,,,,,,,1898117.0,,0.84686,,,,1379069.0,1379894.0,1080588.0,1080038.0
2024-01-31,1000000.0,11092869.0,1209553.0,,,,,,22605.0,2814728.0,9242283.0,,,12604241.0,8830429.0,462673.0,43036.0,419637.0,,,,,,,,,121.0,8471.0,150225.0,688.0,120682.0,1598.0,59456.0,-324128.0,95509.0,95822.0,74885.0,74948.0
2024-02-29,1000000.0,10987412.0,1188114.0,,,,,,22301.0,2915335.0,9148261.0,,,12559350.0,8903616.0,902504.0,83078.0,819426.0,,,,,,,,,232.0,13408.0,281828.0,1074.0,236589.0,1769.0,123542.0,-631290.0,188136.0,188734.0,148143.0,148135.0
2024-03-31,1000000.0,10876027.0,1091633.0,10156388.0,396906.0,303362.0,3376.0,16326.0,21815.0,2892048.0,8825487.0,0.0,0.0,12695194.0,8501614.0,1372604.0,125734.0,1246870.0,,,,,,,,,,,384293.0,,846860.0,,,,334636.0,336466.0,264026.0,263660.0
